,PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
0,797.0,-200.0,2.1,593.0,146.0,1212.0,72.0,984.0,494.0,10.8,49.7,0.6429
1,1282.0,-200.0,11.0,1013.0,354.0,545.0,141.0,1384.0,1287.0,17.4,50.6,0.9989
2,891.0,-200.0,7.6,882.0,342.0,885.0,149.0,950.0,894.0,7.8,33.9,0.3594
3,1285.0,-200.0,18.1,1243.0,481.0,599.0,173.0,1815.0,1582.0,26.4,41.9,1.4237
4,892.0,-200.0,7.3,869.0,71.0,953.0,77.0,1363.0,632.0,37.4,14.7,0.9295
5,1260.0,-200.0,14.1,1121.0,313.0,568.0,82.0,1569.0,1252.0,20.0,56.7,1.3078
6,868.0,-200.0,3.1,657.0,-200.0,921.0,-200.0,1356.0,764.0,25.2,47.9,1.5129
7,1350.0,-200.0,20.1,1299.0,602.0,518.0,132.0,1784.0,1560.0,20.1,62.0,1.4409
8,-200.0,-200.0,-200.0,-200.0,81.0,-200.0,71.0,-200.0,-200.0,-200.0,-200.0,-200.0
9,1543.0,-200.0,15.8,1174.0,513.0,521.0,127.0,1542.0,1494.0,10.4,82.5,1.0406
10,1011.0,-200.0,11.1,1017.0,-200.0,704.0,-200.0,1569.0,738.0,34.4,24.0,1.279
11,978.0,-200.0,9.6,962.0,105.0,846.0,117.0,1527.0,680.0,34.2,19.6,1.0399
12,941.0,-200.0,9.0,941.0,342.0,837.0,114.0,1036.0,884.0,18.8,20.0,0.4278
13,1065.0,-200.0,6.7,844.0,351.0,780.0,212.0,979.0,1117.0,8.0,33.3,0.3591
14,1135.0,-200.0,5.6,792.0,226.0,727.0,120.0,1170.0,1151.0,9.5,69.5,0.8261
15,965.0,-200.0,8.0,900.0,79.0,864.0,83.0,1631.0,968.0,22.9,43.6,1.1974
16,1197.0,-200.0,12.2,1058.0,273.0,634.0,91.0,1626.0,1237.0,27.0,47.6,1.67
17,1182.0,-200.0,14.1,1119.0,219.0,733.0,121.0,1831.0,1032.0,13.6,65.5,1.0184
18,-200.0,-200.0,-200.0,-200.0,653.0,-200.0,182.0,-200.0,-200.0,-200.0,-200.0,-200.0
19,1111.0,-200.0,11.9,1046.0,98.0,651.0,105.0,1754.0,1106.0,26.3,45.6,1.5349
20,1338.0,215.0,11.0,1016.0,98.0,798.0,95.0,1766.0,1194.0,24.3,41.8,1.2561
21,995.0,72.0,3.6,691.0,91.0,1219.0,69.0,1321.0,836.0,7.4,68.0,0.7043
22,1818.0,-200.0,35.5,1675.0,847.0,330.0,232.0,2143.0,2129.0,18.8,49.1,1.0538
23,1399.0,-200.0,16.5,1195.0,-200.0,680.0,-200.0,1976.0,1308.0,15.4,64.2,1.1123
24,1316.0,-200.0,13.4,1099.0,412.0,610.0,137.0,1451.0,1268.0,13.2,72.8,1.0984
25,1220.0,-200.0,21.4,1334.0,176.0,695.0,183.0,2066.0,1215.0,36.6,20.6,1.2445
26,1035.0,-200.0,8.4,917.0,135.0,882.0,64.0,1606.0,968.0,11.3,70.4,0.9443
27,893.0,-200.0,3.7,696.0,48.0,1008.0,54.0,1548.0,801.0,22.1,56.2,1.48
28,1065.0,-200.0,10.0,977.0,83.0,736.0,90.0,1733.0,1103.0,25.9,46.1,1.5174
29,720.0,-200.0,1.4,540.0,-200.0,1296.0,-200.0,938.0,613.0,4.4,71.4,0.6024
30,1126.0,-200.0,5.2,775.0,236.0,760.0,101.0,1205.0,1019.0,11.7,69.8,0.9612
31,972.0,-200.0,7.5,880.0,89.0,964.0,72.0,1590.0,689.0,14.3,60.5,0.9847
32,954.0,-200.0,3.1,660.0,-200.0,938.0,-200.0,1342.0,728.0,23.7,49.2,1.4195
33,1074.0,-200.0,7.6,884.0,63.0,764.0,57.0,1726.0,838.0,28.1,54.1,2.029
34,838.0,-200.0,3.4,675.0,-200.0,1302.0,-200.0,1390.0,540.0,17.9,50.8,1.0355
35,918.0,-200.0,4.6,742.0,-200.0,905.0,-200.0,1386.0,720.0,19.9,68.4,1.5673
36,1306.0,-200.0,15.4,1161.0,646.0,557.0,146.0,1407.0,1379.0,5.5,83.5,0.7619
37,1037.0,-200.0,12.1,1053.0,-200.0,708.0,-200.0,1480.0,958.0,16.5,56.2,1.0455
38,867.0,-200.0,3.3,669.0,271.0,1069.0,119.0,981.0,779.0,10.1,44.0,0.5434
39,966.0,-200.0,5.1,770.0,191.0,900.0,74.0,1206.0,956.0,14.0,66.1,1.05
40,1267.0,332.0,13.1,1088.0,151.0,764.0,129.0,1740.0,1339.0,19.8,46.8,1.0702
41,1207.0,343.0,11.0,1013.0,174.0,876.0,116.0,1632.0,982.0,10.0,74.0,0.9087
42,871.0,-200.0,2.8,638.0,219.0,1022.0,143.0,860.0,583.0,4.3,49.4,0.4136
43,-200.0,-200.0,-200.0,-200.0,88.0,-200.0,96.0,-200.0,-200.0,-200.0,-200.0,-200.0
44,1253.0,-200.0,17.9,1238.0,433.0,571.0,138.0,1613.0,1351.0,15.9,60.8,1.088
45,988.0,40.0,4.1,718.0,82.0,1396.0,91.0,1304.0,692.0,7.1,61.8,0.6276
46,926.0,-200.0,6.7,845.0,239.0,979.0,81.0,1398.0,851.0,20.2,53.1,1.2442
47,1254.0,-200.0,13.8,1111.0,521.0,630.0,151.0,1360.0,1198.0,5.8,84.5,0.7822
48,1033.0,-200.0,8.4,917.0,118.0,882.0,95.0,1617.0,905.0,17.2,52.3,1.0169
49,891.0,-200.0,3.0,650.0,174.0,987.0,126.0,782.0,586.0,3.4,38.9,0.3076
50,831.0,-200.0,1.4,537.0,124.0,1158.0,96.0,722.0,768.0,-1.2,47.2,0.27
51,1380.0,-200.0,15.7,1170.0,473.0,477.0,166.0,1566.0,1656.0,20.2,42.1,0.984
52,1419.0,-200.0,18.5,1254.0,670.0,524.0,167.0,1406.0,1950.0,8.0,55.9,0.6018
53,888.0,-200.0,6.7,843.0,82.0,892.0,100.0,1438.0,729.0,26.1,28.3,0.9456
54,889.0,-200.0,6.4,831.0,74.0,956.0,79.0,1570.0,760.0,20.5,49.9,1.1903
55,1499.0,-200.0,19.8,1291.0,541.0,444.0,107.0,1653.0,1609.0,13.4,55.1,0.8444
56,1347.0,-200.0,17.9,1237.0,264.0,645.0,136.0,1984.0,1328.0,16.0,59.3,1.0711
57,-200.0,-200.0,-200.0,-200.0,540.0,-200.0,289.0,-200.0,-200.0,-200.0,-200.0,-200.0
58,1198.0,-200.0,9.1,943.0,371.0,647.0,151.0,1307.0,1291.0,13.5,62.6,0.9644
59,1494.0,-200.0,23.1,1381.0,544.0,422.0,223.0,1677.0,1879.0,18.4,38.8,0.8152
60,1034.0,-200.0,5.0,763.0,163.0,840.0,97.0,1192.0,761.0,15.0,57.2,0.9698
61,978.0,252.0,7.0,858.0,102.0,1013.0,79.0,1379.0,761.0,14.5,42.0,0.6896
62,1196.0,-200.0,21.4,1336.0,221.0,739.0,159.0,1971.0,1157.0,26.9,32.2,1.1267
63,944.0,-200.0,8.2,908.0,261.0,865.0,83.0,1321.0,931.0,14.6,56.4,0.9319
64,938.0,-200.0,5.3,778.0,46.0,896.0,56.0,1520.0,700.0,32.1,34.0,1.6039
65,1282.0,-200.0,12.7,1075.0,-200.0,605.0,-200.0,1651.0,1103.0,27.2,40.7,1.4481
66,930.0,-200.0,4.6,741.0,125.0,849.0,48.0,1392.0,843.0,19.6,71.3,1.612
67,1153.0,181.0,9.2,945.0,161.0,969.0,118.0,1425.0,911.0,22.7,22.9,0.6224
68,1173.0,-200.0,17.2,1217.0,298.0,625.0,112.0,1945.0,1358.0,21.3,49.7,1.2452
69,1250.0,-200.0,15.8,1173.0,-200.0,720.0,-200.0,1870.0,1282.0,21.8,39.6,1.0209
70,1234.0,-200.0,22.1,1355.0,196.0,621.0,107.0,2095.0,1266.0,16.4,50.2,0.9286
71,1168.0,267.0,12.4,1063.0,120.0,876.0,98.0,1540.0,944.0,10.4,48.0,0.6046
72,891.0,-200.0,5.5,790.0,74.0,960.0,70.0,1466.0,816.0,18.6,45.8,0.9723
73,1065.0,-200.0,5.5,789.0,79.0,936.0,81.0,1620.0,929.0,18.4,65.8,1.3802
74,987.0,-200.0,4.9,759.0,166.0,856.0,67.0,1162.0,940.0,8.8,83.7,0.9529
75,938.0,-200.0,4.3,729.0,-200.0,874.0,-200.0,1060.0,702.0,11.1,55.3,0.7325
76,1044.0,-200.0,9.2,946.0,138.0,1009.0,119.0,1594.0,886.0,19.3,46.3,1.0279
77,1160.0,-200.0,13.0,1083.0,596.0,706.0,162.0,1114.0,1363.0,7.6,40.6,0.4273
78,1111.0,-200.0,8.7,927.0,90.0,707.0,78.0,1715.0,922.0,33.9,36.0,1.8692
79,1492.0,-200.0,24.8,1425.0,653.0,417.0,228.0,1690.0,1780.0,17.3,35.2,0.6907
80,1075.0,-200.0,10.5,996.0,115.0,649.0,84.0,1838.0,1113.0,25.4,56.2,1.7961
81,1240.0,-200.0,13.6,1102.0,205.0,588.0,72.0,1989.0,1257.0,22.0,75.9,1.9817
82,1282.0,-200.0,18.3,1247.0,-200.0,560.0,-200.0,1861.0,1258.0,20.5,61.5,1.4673
83,945.0,-200.0,3.9,707.0,159.0,963.0,97.0,1005.0,657.0,8.8,50.9,0.5781
84,1605.0,-200.0,24.5,1416.0,1099.0,436.0,240.0,1614.0,1941.0,5.3,77.4,0.6954
85,1816.0,-200.0,43.9,1851.0,1184.0,341.0,171.0,2405.0,2069.0,15.4,73.0,1.2688
86,1141.0,98.0,6.3,827.0,73.0,936.0,88.0,1488.0,1110.0,16.2,54.2,0.9933
87,1062.0,-200.0,9.6,962.0,108.0,776.0,104.0,1674.0,1030.0,26.2,39.7,1.3249
88,813.0,-200.0,2.8,639.0,25.0,1267.0,22.0,1538.0,655.0,19.8,64.7,1.4769
89,847.0,-200.0,3.7,694.0,112.0,1153.0,70.0,1240.0,594.0,21.5,45.6,1.1528
90,1508.0,-200.0,23.1,1379.0,864.0,496.0,137.0,1767.0,1567.0,10.0,75.0,0.9179
91,1171.0,-200.0,9.9,972.0,-200.0,650.0,-200.0,1529.0,1181.0,20.3,64.2,1.5063
92,996.0,-200.0,2.5,620.0,91.0,820.0,62.0,1238.0,612.0,18.6,62.1,1.3224
93,1101.0,-200.0,12.2,1057.0,122.0,797.0,113.0,1772.0,863.0,33.0,26.0,1.2877
94,1251.0,-200.0,13.7,1107.0,297.0,579.0,91.0,1657.0,1407.0,21.3,66.1,1.6556
95,1391.0,-200.0,21.5,1338.0,729.0,509.0,183.0,1514.0,1816.0,11.5,60.9,0.8249
96,1326.0,-200.0,16.9,1206.0,317.0,533.0,111.0,1785.0,1432.0,25.4,50.8,1.6275
97,1028.0,-200.0,12.0,1048.0,171.0,719.0,93.0,1624.0,1135.0,27.1,32.4,1.1462
98,865.0,36.0,0.9,494.0,39.0,1613.0,53.0,1185.0,367.0,13.5,50.1,0.7706
99,1149.0,-200.0,10.6,998.0,368.0,664.0,133.0,1434.0,1101.0,20.8,45.5,1.1054
100,996.0,-200.0,10.4,992.0,189.0,722.0,93.0,1580.0,727.0,31.1,28.6,1.2718
101,953.0,-200.0,7.0,858.0,136.0,742.0,79.0,1544.0,780.0,22.8,58.5,1.5992
102,1100.0,-200.0,6.0,810.0,327.0,768.0,172.0,1070.0,1158.0,6.3,59.8,0.5761
103,1004.0,-200.0,9.4,955.0,146.0,758.0,84.0,1671.0,1043.0,18.5,57.4,1.2076
104,-200.0,-200.0,-200.0,-200.0,469.0,-200.0,111.0,-200.0,-200.0,-200.0,-200.0,-200.0
105,771.0,-200.0,1.4,533.0,-200.0,1566.0,-200.0,1110.0,360.0,17.4,30.2,0.5945
106,1148.0,-200.0,17.5,1226.0,579.0,624.0,207.0,1126.0,1460.0,9.1,19.2,0.2225
107,1136.0,-200.0,11.0,1015.0,416.0,702.0,125.0,1287.0,1063.0,9.4,67.7,0.8018
108,1197.0,-200.0,18.3,1249.0,158.0,698.0,125.0,1986.0,1132.0,28.3,31.7,1.1968
109,956.0,-200.0,3.1,661.0,38.0,1043.0,59.0,1398.0,701.0,18.4,51.7,1.0819
110,-200.0,-200.0,-200.0,-200.0,340.0,-200.0,208.0,-200.0,-200.0,-200.0,-200.0,-200.0
111,902.0,-200.0,3.6,689.0,177.0,995.0,128.0,838.0,719.0,4.3,41.1,0.3451
112,798.0,-200.0,2.3,609.0,213.0,1122.0,109.0,660.0,472.0,3.1,29.1,0.224
