,Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
0,109,331,116,5,5.0,5.0,9.38,1,0.93
1,346,316,98,1,1.5,2.0,7.43,0,0.49
2,99,332,119,4,5.0,4.5,9.24,1,0.9
3,210,301,104,3,3.5,4.0,8.12,1,0.68
4,242,317,103,2,2.5,2.0,8.15,0,0.65
5,393,326,112,4,4.0,3.5,9.12,1,0.84
6,209,305,106,2,3.0,3.0,8.16,0,0.64
7,187,317,107,3,3.5,3.0,8.68,1,0.84
8,279,308,103,2,3.0,3.5,8.49,0,0.66
9,52,312,100,2,1.5,3.5,7.9,1,0.56
10,370,301,98,1,2.0,3.0,8.03,1,0.67
11,289,314,104,4,5.0,5.0,9.02,0,0.82
12,312,328,108,4,4.5,4.0,9.18,1,0.84
13,121,335,117,5,5.0,5.0,9.56,1,0.94
14,3,316,104,3,3.0,3.5,8.0,1,0.72
15,278,320,101,2,2.5,3.0,8.62,0,0.7
16,249,324,110,3,3.5,4.0,8.87,1,0.8
17,201,317,103,3,2.5,3.0,8.54,1,0.73
18,224,308,109,2,3.0,4.0,8.45,0,0.71
19,34,340,114,5,4.0,4.0,9.6,1,0.9
20,18,319,106,3,4.0,3.0,8.0,1,0.65
21,76,329,114,2,2.0,4.0,8.56,1,0.72
22,118,290,104,4,2.0,2.5,7.46,0,0.45
23,29,295,93,1,2.0,2.0,7.2,0,0.46
24,70,328,115,4,4.5,4.0,9.16,1,0.78
25,375,315,105,2,2.0,2.5,7.65,0,0.39
26,188,335,118,5,4.5,3.5,9.44,1,0.93
27,88,317,107,2,3.5,3.0,8.28,0,0.66
28,352,325,110,4,3.5,4.0,8.67,1,0.73
29,228,312,110,2,3.5,3.0,8.53,0,0.64
30,100,323,113,3,4.0,4.0,8.88,1,0.79
31,179,309,108,3,2.5,3.0,8.12,0,0.72
32,288,324,114,5,5.0,4.5,9.08,1,0.89
33,211,325,108,4,4.5,4.0,9.06,1,0.79
34,347,304,97,2,1.5,2.0,7.64,0,0.47
35,348,299,94,1,1.0,1.0,7.34,0,0.42
36,268,314,107,3,3.0,3.5,8.17,1,0.73
37,265,325,110,2,3.0,2.5,8.76,1,0.75
38,267,312,105,2,2.0,2.5,8.45,0,0.72
39,241,296,101,1,2.5,3.0,7.68,0,0.6
40,225,305,105,2,3.0,2.0,8.23,0,0.67
41,115,311,105,3,3.5,3.0,8.45,1,0.59
42,64,315,107,2,4.0,3.0,8.5,1,0.56
43,80,294,93,1,1.5,2.0,7.36,0,0.46
44,162,298,99,1,1.5,3.0,7.46,0,0.53
45,332,311,105,2,3.0,2.0,8.12,1,0.73
46,190,324,112,5,5.0,5.0,9.08,1,0.88
47,222,316,110,3,3.5,4.0,8.56,0,0.75
48,120,327,104,5,3.0,3.5,8.84,1,0.71
49,203,340,120,5,4.5,4.5,9.91,1,0.97
50,271,306,105,2,2.5,3.0,8.22,1,0.72
51,40,307,108,2,4.0,3.5,7.7,0,0.48
52,221,313,103,3,4.0,4.0,8.75,0,0.76
53,131,339,114,5,4.0,4.5,9.76,1,0.96
54,305,313,106,2,2.5,2.0,8.43,0,0.62
55,252,316,99,2,2.5,3.0,9.0,0,0.7
56,110,304,103,5,5.0,4.0,8.64,0,0.68
57,243,324,115,3,3.5,3.0,8.76,1,0.7
58,208,310,102,3,3.5,4.0,8.02,1,0.66
59,170,311,99,2,2.5,3.0,7.98,0,0.65
60,69,318,109,3,3.5,4.0,9.22,1,0.68
61,129,326,112,3,3.5,3.0,9.1,1,0.84
62,177,329,119,4,4.5,4.5,9.16,1,0.9
63,134,323,112,5,4.0,4.5,8.78,0,0.79
64,51,313,98,3,2.5,4.5,8.3,1,0.76
65,127,323,113,3,4.0,3.0,9.32,1,0.85
66,306,321,109,3,3.5,3.5,8.8,1,0.74
67,24,334,119,5,5.0,4.5,9.7,1,0.95
68,168,313,102,3,2.0,3.0,8.27,0,0.64
69,344,305,103,2,2.5,3.5,8.13,0,0.59
70,389,296,97,2,1.5,2.0,7.8,0,0.49
71,148,326,114,3,3.0,3.0,9.11,1,0.83
72,44,332,117,4,4.5,4.0,9.1,0,0.87
73,175,321,111,4,4.0,4.0,8.97,1,0.87
74,257,309,99,3,4.0,4.0,8.56,0,0.76
75,178,319,110,3,3.5,3.5,9.04,0,0.82
76,27,322,109,5,4.5,3.5,8.8,0,0.76
